country,name,region,lat,lon
GHA,Ghana,Africa,8.0,-2.0
GLP,Guadeloupe,Americas,16.25,-61.583333
KEN,Kenya,Africa,1.0,38.0
LIE,Liechtenstein,Europe,47.26666666,9.53333333
GNB,Guinea-Bissau,Africa,12.0,-15.0
MNE,Montenegro,Europe,42.5,19.3
UMI,United States Minor Outlying Islands,Americas,19.3,166.633333
MYT,Mayotte,Africa,-12.83333333,45.16666666
FRO,Faroe Islands,Europe,62.0,-7.0
MMR,Myanmar,Asia,22.0,98.0
PAN,Panama,Americas,9.0,-80.0
BFA,Burkina Faso,Africa,13.0,-2.0
LBY,Libya,Africa,25.0,17.0
MLI,Mali,Africa,17.0,-4.0
NAM,Namibia,Africa,-22.0,17.0
BOL,Bolivia,Americas,-17.0,-65.0
PRY,Paraguay,Americas,-23.0,-58.0
BRB,Barbados,Americas,13.16666666,-59.53333333
ABW,Aruba,Americas,12.5,-69.96666666
AIA,Anguilla,Americas,18.25,-63.16666666
SLV,El Salvador,Americas,13.83333333,-88.91666666
DMA,Dominica,Americas,15.41666666,-61.33333333
PYF,French Polynesia,Oceania,17.6797,149.4068
GUY,Guyana,Americas,5.0,-59.0
LCA,Saint Lucia,Americas,13.88333333,-60.96666666
ATA,Antarctica,Antarctic,-90.0,0.0
GTM,Guatemala,Americas,15.5,-90.25
ASM,American Samoa,Oceania,-14.33333333,-170.0
MRT,Mauritania,Africa,20.0,-12.0
NCL,New Caledonia,Oceania,-21.5,165.5
KIR,Kiribati,Oceania,1.41666666,173.0
SDN,Sudan,Africa,15.0,30.0
ATF,French Southern and Antarctic Lands,Antarctic,-49.25,69.167
SLE,Sierra Leone,Africa,8.5,-11.5
LAO,Laos,Asia,18.0,105.0
